cat,date,year,season,sex,age,age.2,toxo titer,toxo320,toxo160,fiv,felv,type,colony,catsincolony,latitude,longitude
MO-194,8/20/06,2006,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,57,13,36.37618889,-121.855775
MO-195,8/20/06,2006,dry,f,< 6 months,juvenile,<40,0,0,0,0,managed,57,13,36.37618889,-121.855775
MO-198,8/21/06,2006,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,57,13,36.37618889,-121.855775
MO-199,8/21/06,2006,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,57,13,36.37618889,-121.855775
MO-201,8/22/06,2006,dry,f,< 6 months,juvenile,<40,0,0,0,0,managed,57,13,36.37618889,-121.855775
MO-202,8/22/06,2006,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,57,13,36.37618889,-121.855775
MO-471,5/14/08,2008,dry,m,6-12 months,juvenile,<40,0,0,0,0,managed,58,7,36.52518611,-121.83975
MO-472,5/14/08,2008,dry,f,6-12 months,juvenile,<40,0,0,0,0,managed,58,7,36.52518611,-121.83975
MO-480,5/21/08,2008,dry,m,6-12 months,juvenile,<40,0,0,0,0,managed,58,7,36.52518611,-121.83975
MO-484,5/28/08,2008,dry,f,6-12 months,juvenile,<40,0,0,0,0,managed,58,7,36.52518611,-121.83975
MO-493,6/8/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,58,7,NA,NA
MO-495,6/9/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,58,7,36.52518611,-121.83975
MO-496,6/9/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,58,7,36.52518611,-121.83975
MO-356,10/29/07,2007,wet,m,< 6 months,juvenile,<40,0,0,0,0,managed,59,2,36.40719444,-121.6655278
MO-526,8/6/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,59,2,36.40719444,-121.6655278
MO-466,4/30/08,2008,dry,f,> 12 months,adult,<40,0,0,1,0,managed,60,2,36.77240556,-121.738225
MO-467,4/30/08,2008,dry,f,> 12 months,adult,80,0,0,0,0,managed,60,2,36.77240556,-121.738225
MO-582,10/6/08,2008,dry,f,> 12 months,adult,5120,1,1,0,0,managed,61,1,36.75511389,-121.7431278
MO-286,5/13/07,2007,dry,f,> 12 months,adult,<40,0,0,0,0,managed,62,1,36.18399444,-121.6532028
MO-501,7/1/08,2008,dry,m,> 12 months,adult,<40,0,0,0,0,managed,63,2,36.59364444,-121.8398333
MO-522,7/30/08,2008,dry,m,> 12 months,adult,<40,0,0,0,0,managed,63,2,36.59364444,-121.8398333
MO-097,5/24/06,2006,dry,f,> 12 months,adult,80,0,0,0,0,managed,64,1,36.63875833,-121.8036056
MO-074,5/2/06,2006,wet,f,> 12 months,adult,160,0,1,0,0,managed,65,1,36.63847222,-121.8247444
MO-117,6/11/06,2006,dry,f,> 12 months,adult,<40,0,0,0,0,managed,66,1,36.50738333,-121.4452333
MO-295,6/5/07,2007,dry,f,> 12 months,adult,<40,0,0,0,0,managed,67,1,36.32323611,-121.2467139
MO-418,3/9/08,2008,wet,f,> 12 months,adult,80,0,0,0,0,managed,68,1,36.19979167,-121.1263917
MO-128,6/20/06,2006,dry,f,> 12 months,adult,40,0,0,0,0,managed,69,1,36.68815833,-121.801325
MO-108,6/5/06,2006,dry,f,> 12 months,adult,80,0,0,0,0,managed,70,1,36.68538056,-121.7913583
MO-209,9/4/06,2006,dry,f,< 6 months,juvenile,<40,0,0,0,0,managed,71,3,36.69837778,-121.80165
MO-212,9/5/06,2006,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,71,3,36.69837778,-121.80165
MO-215,9/6/06,2006,dry,f,< 6 months,juvenile,<40,0,0,0,0,managed,71,3,36.69837778,-121.80165
MO-492b,6/8/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,72,1,NA,NA
MO-359,11/5/07,2007,dry,f,> 12 months,adult,<40,0,0,0,0,managed,73,13,36.66937778,-121.7650944
MO-360,11/6/07,2007,dry,f,> 12 months,adult,<40,0,0,0,0,managed,73,13,36.66937778,-121.7650944
MO-370,11/19/07,2007,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,73,13,36.66937778,-121.7650944
MO-371,11/19/07,2007,wet,m,> 12 months,adult,<40,0,0,1,0,managed,73,13,36.66937778,-121.7650944
MO-373,11/27/07,2007,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,73,13,36.66937778,-121.7650944
MO-383,12/18/07,2007,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,73,13,36.66937778,-121.7650944
MO-389,1/22/08,2008,wet,m,> 12 months,adult,<40,0,0,0,0,managed,73,13,36.66937778,-121.7650944
MO-391,1/27/08,2008,wet,m,> 12 months,adult,40,0,0,0,0,managed,73,13,36.66937778,-121.7650944
MO-407,2/24/08,2008,wet,m,> 12 months,adult,40,0,0,1,0,managed,73,13,36.66937778,-121.7650944
MO-440,4/13/08,2008,wet,m,> 12 months,adult,"10,240",1,1,1,0,managed,73,13,36.66937778,-121.7650944
MO-505,7/13/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,73,13,36.66937778,-121.7650944
MO-542,9/7/08,2008,dry,m,> 12 months,adult,<40,0,0,0,0,managed,73,13,36.66937778,-121.7650944
MO-543,9/7/08,2008,dry,m,> 12 months,adult,320,1,1,1,0,managed,73,13,36.66937778,-121.7650944
MO-455,4/21/08,2008,wet,f,> 12 months,adult,<40,0,0,0,0,managed,74,1,36.59535556,-121.8575389
MO-111,6/5/06,2006,dry,f,> 12 months,adult,80,0,0,0,0,managed,75,1,36.57134167,-121.7979306
MO-091,5/19/06,2006,wet,f,> 12 months,adult,40,0,0,0,0,managed,76,1,36.59945833,-121.8824167
MO-143,7/2/06,2006,dry,f,< 6 months,juvenile,<40,0,0,0,0,managed,77,7,36.59846111,-121.89965
MO-144,7/2/06,2006,dry,f,> 12 months,adult,<40,0,0,0,0,managed,77,7,36.59846111,-121.89965
MO-145,7/4/06,2006,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,77,7,36.59846111,-121.89965
MO-146,7/4/06,2006,dry,m,> 12 months,adult,40,0,0,0,0,managed,77,7,36.59846111,-121.89965
MO-149,7/5/06,2006,dry,f,> 12 months,adult,<40,0,0,0,0,managed,77,7,36.59846111,-121.89965
MO-157,7/11/06,2006,dry,f,> 12 months,adult,80,0,0,0,0,managed,77,7,36.59846111,-121.89965
MO-158,7/11/06,2006,dry,m,> 12 months,adult,40,0,0,0,0,managed,77,7,36.59846111,-121.89965
MO-171,7/24/06,2006,dry,f,> 12 months,adult,160,0,1,0,0,managed,78,1,36.59590556,-121.8996694
MO-164,7/16/06,2006,dry,f,> 12 months,adult,<40,0,0,0,0,managed,79,1,36.59375833,-121.9029528
MO-109,6/5/06,2006,dry,m,6-12 months,juvenile,40,0,0,0,0,managed,80,2,36.85249722,-121.685075
MO-110,6/5/06,2006,dry,m,> 12 months,adult,<40,0,0,0,0,managed,80,2,36.85249722,-121.685075
MO-327,9/17/07,2007,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,81,2,36.59563056,-121.8425111
MO-328,9/17/07,2007,dry,f,< 6 months,juvenile,<40,0,0,0,0,managed,81,2,36.59563056,-121.8425111
MO-498,6/22/08,2008,dry,m,> 12 months,adult,<40,0,0,0,0,managed,82,4,36.59785556,-121.8531528
MO-499,6/24/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,82,4,36.59785556,-121.8531528
MO-524,8/3/08,2008,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,82,4,36.59785556,-121.8531528
MO-525,8/4/08,2008,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,82,4,36.59785556,-121.8531528
MO-214,9/5/06,2006,dry,f,> 12 months,adult,40,0,0,0,0,managed,84,2,36.57691944,-121.8755583
MO-362,11/13/07,2007,wet,m,> 12 months,adult,<40,0,0,0,0,managed,84,2,36.57691944,-121.8755583
MO-329,9/23/07,2007,dry,f,> 12 months,adult,<40,0,0,0,0,managed,85,2,36.59601944,-121.8971833
MO-330,9/23/07,2007,dry,f,> 12 months,adult,80,0,0,0,0,managed,85,2,36.59601944,-121.8971833
MO-119,6/13/06,2006,dry,m,> 12 months,adult,160,0,1,0,0,managed,86,1,36.60212222,-121.9397722
MO-361,11/12/07,2007,wet,m,> 12 months,adult,<40,0,0,0,0,managed,87,2,36.59616389,-121.8995722
MO-469,5/4/08,2008,dry,m,> 12 months,adult,160,0,1,0,0,managed,87,2,36.59616389,-121.8995722
MO-557,9/15/08,2008,dry,f,> 12 months,adult,1280,1,1,0,0,managed,88,4,36.79625,-121.7532917
08-1081,6/1/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,88,4,36.79625,-121.7532917
08-1109,6/14/08,2008,dry,f,< 6 months,juvenile,<40,0,0,0,0,managed,88,4,36.79625,-121.7532917
08-1110,6/14/08,2008,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,88,4,36.79625,-121.7532917
MO-474,5/18/08,2008,dry,f,6-12 months,juvenile,5120,1,1,0,0,managed,89,2,36.79128611,-121.7878889
08-0452,3/10/08,2008,wet,f,> 12 months,adult,10240,1,1,0,0,managed,89,2,36.79128611,-121.7878889
MO-398 ,2/10/08,2008,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,90,8,36.79714167,-121.7864528
MO-399,2/10/08,2008,wet,f,6-12 months,juvenile,1280,1,1,0,0,managed,90,8,36.79714167,-121.7864528
MO-403,2/12/08,2008,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,90,8,36.79714167,-121.7864528
MO-404,2/12/08,2008,wet,f,NA,NA,2560,1,1,0,0,managed,90,8,36.79714167,-121.7864528
MO-405,2/12/08,2008,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,90,8,36.79714167,-121.7864528
MO-421,3/11/08,2008,wet,m,> 12 months,adult,<40,0,0,0,0,managed,90,8,36.79714167,-121.7864528
MO-422,3/11/08,2008,wet,m,> 12 months,adult,40,0,0,1,0,managed,90,8,36.79714167,-121.7864528
MO-423,3/11/08,2008,wet,m,> 12 months,adult,40,0,0,0,0,managed,90,8,36.79714167,-121.7864528
MO-231,1/21/07,2007,wet,f,> 12 months,adult,80,0,0,0,0,managed,91,9,36.804625,-121.7872861
MO-232,1/21/07,2007,wet,f,6-12 months,juvenile,<40,0,0,0,1,managed,91,9,36.804625,-121.7872861
MO-460,4/27/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,91,9,36.804625,-121.7872861
MO-461,4/27/08,2008,dry,f,> 12 months,adult,"81,920",1,1,0,0,managed,91,9,36.804625,-121.7872861
MO-481,5/21/08,2008,dry,m,> 12 months,adult,20480,1,1,0,0,managed,91,9,36.804625,-121.7872861
MO-509,7/14/08,2008,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,91,9,36.804625,-121.7872861
MO-510,7/14/08,2008,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,91,9,36.804625,-121.7872861
MO-571,NA,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,91,9,36.804625,-121.7872861
MO-572,NA,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,91,9,36.804625,-121.7872861
MO-573,10/1/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,92,1,36.62954167,-121.9333194
MO-518,8/3/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,93,1,36.62463056,-121.9353333
MO-537,8/18/08,2008,dry,f,> 12 months,adult,>1280,1,1,0,0,managed,94,1,36.56571389,-121.9339889
MO-233,1/22/07,2007,wet,f,> 12 months,adult,<40,0,0,0,0,managed,95,1,36.81361389,-121.6404472
MO-252,2/25/07,2007,wet,f,6-12 months,juvenile,40,0,0,0,0,managed,96,17,36.81424167,-121.642525
MO-253,2/25/07,2007,wet,f,> 12 months,adult,NA,NA,NA,NA,NA,managed,96,17,36.81424167,-121.642525
MO-256,3/4/07,2007,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,96,17,36.81424167,-121.642525
MO-257,3/4/07,2007,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,96,17,36.81424167,-121.642525
MO-258,3/4/07,2007,wet,m,6-12 months,juvenile,<40,0,0,0,0,managed,96,17,36.81424167,-121.642525
MO-259,3/4/07,2007,wet,m,6-12 months,juvenile,<40,0,0,0,0,managed,96,17,36.81424167,-121.642525
MO-260,3/4/07,2007,wet,m,6-12 months,juvenile,<40,0,0,0,0,managed,96,17,36.81424167,-121.642525
MO-270,3/11/07,2007,wet,m,6-12 months,juvenile,<40,0,0,0,0,managed,96,17,36.81424167,-121.642525
MO-271,3/11/07,2007,wet,m,NA,NA,<40,0,0,0,0,managed,96,17,36.81424167,-121.642525
MO-272,3/11/07,2007,wet,f,NA,NA,<40,0,0,0,0,managed,96,17,36.81424167,-121.642525
MO-275,3/18/07,2007,wet,f,> 12 months,adult,<40,0,0,0,0,managed,96,17,36.81424167,-121.642525
MO-276,3/18/07,2007,wet,m,6-12 months,juvenile,<40,0,0,0,0,managed,96,17,36.81424167,-121.642525
MO-277,3/18/07,2007,wet,m,6-12 months,juvenile,<40,0,0,0,0,managed,96,17,36.81424167,-121.642525
MO-278,3/18/07,2007,wet,m,6-12 months,juvenile,<40,0,0,0,0,managed,96,17,36.81424167,-121.642525
MO-280,4/15/07,2007,wet,f,> 12 months,adult,<40,0,0,0,0,managed,96,17,36.81424167,-121.642525
MO-281,4/15/07,2007,wet,f,> 12 months,adult,<40,0,0,0,0,managed,96,17,36.81424167,-121.642525
MO-283,4/29/07,2007,wet,f,> 12 months,adult,<40,0,0,0,0,managed,96,17,36.81424167,-121.642525
MO-261,3/4/07,2007,wet,f,> 12 months,adult,<40,0,0,0,0,managed,97,5,36.77835833,-121.6532861
MO-262,3/4/07,2007,wet,f,> 12 months,adult,<40,0,0,0,0,managed,97,5,36.77835833,-121.6532861
MO-266,3/5/07,2007,wet,m,> 12 months,adult,320wk,1,1,0,0,managed,97,5,36.77835833,-121.6532861
MO-279,3/18/07,2007,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,97,5,36.77835833,-121.6532861
MO-420,3/9/08,2008,wet,m,> 12 months,adult,1280,1,1,0,0,managed,97,5,36.77835833,-121.6532861
MO-298,6/10/07,2007,dry,f,> 12 months,adult,<40,0,0,0,0,managed,98,2,36.81855833,-121.6235083
MO-299,6/10/07,2007,dry,f,> 12 months,adult,<40,0,0,0,0,managed,98,2,36.81855833,-121.6235083
MO-331,9/23/07,2007,dry,m,NA,NA,<40,0,0,0,0,managed,99,11,36.77468889,-121.7054194
MO-332,9/23/07,2007,dry,f,6-12 months,juvenile,<40,0,0,0,0,managed,99,11,36.77468889,-121.7054194
MO-348,10/21/07,2007,dry,f,6-12 months,juvenile,<40,0,0,0,0,managed,99,11,36.77468889,-121.7054194
MO-349,10/21/07,2007,dry,f,6-12 months,juvenile,40,0,0,0,0,managed,99,11,36.77468889,-121.7054194
MO-367,11/18/07,2007,wet,m,> 12 months,adult,<40,0,0,0,0,managed,99,11,36.77468889,-121.7054194
MO-415,3/2/08,2008,wet,f,> 12 months,adult,<40,0,0,0,0,managed,99,11,36.77468889,-121.7054194
MO-519,7/21/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,99,11,36.77468889,-121.7054194
MO-520,7/21/08,2008,dry,f,> 12 months,adult,320,1,1,0,0,managed,99,11,36.77468889,-121.7054194
MO-553,9/14/08,2008,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,99,11,36.77468889,-121.7054194
MO-554,9/14/08,2008,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,99,11,36.77468889,-121.7054194
08-0701,4/28/08,2008,dry,f,< 6 months,juvenile,<40,0,0,0,1,managed,99,11,36.77468889,-121.7054194
MO-184,8/9/06,2006,dry,f,> 12 months,adult,"20,480",1,1,0,0,managed,100,1,36.8131,-121.6423333
MO-308,6/20/07,2007,dry,m,> 12 months,adult,<40,0,0,0,0,managed,101,4,36.81406111,-121.6535139
MO-309,6/20/07,2007,dry,m,> 12 months,adult,160*,0,1,0,0,managed,101,4,36.81406111,-121.6535139
08-0133,2/15/08,2008,wet,m,> 12 months,adult,<40,0,0,0,0,managed,101,4,36.81406111,-121.6535139
08-1115,6/17/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,101,4,36.81406111,-121.6535139
MO-426,3/26/08,2008,wet,m,> 12 months,adult,"10,240",1,1,0,0,managed,102,3,36.78598333,-121.7486778
MO-427,3/26/08,2008,wet,m,6-12 months,juvenile,5120,1,1,0,0,managed,102,3,36.78598333,-121.7486778
MO-428,3/26/08,2008,wet,m,6-12 months,juvenile,5180,1,1,0,0,managed,102,3,36.78598333,-121.7486778
MO-333b,10/1/07,2007,dry,m,> 12 months,adult,<40,0,0,1,0,managed,103,5,36.81625556,-121.69475
MO-341,10/14/07,2007,wet,m,> 12 months,adult,<40,0,0,0,0,managed,103,5,36.81625556,-121.69475
MO-342,10/14/07,2007,wet,m,> 12 months,adult,<40,0,0,0,0,managed,103,5,36.81625556,-121.69475
MO-351,10/22/07,2007,wet,m,> 12 months,adult,80,0,0,0,0,managed,103,5,36.81625556,-121.69475
08-0132,2/11/08,2008,wet,m,> 12 months,adult,<40,0,0,1,0,managed,103,5,36.81625556,-121.69475
MO-320,7/11/07,2007,dry,f,> 12 months,adult,2560,1,1,0,0,managed,104,3,36.778725,-121.6476333
MO-346,10/21/07,2007,wet,f,< 6 months,juvenile,<40,0,0,0,0,managed,104,3,36.778725,-121.6476333
MO-347,10/22/07,2007,wet,f,> 12 months,adult,<40,0,0,0,0,managed,104,3,36.778725,-121.6476333
MO-492a,6/8/08,2008,dry,f,> 12 months,adult,>1280,1,1,1,0,managed,105,1,36.80855,-121.6717083
MO-465,4/29/08,2008,dry,m,> 12 months,adult,"81,920",1,1,0,0,managed,106,1,36.82548611,-121.7008556
MO-155,7/10/06,2006,dry,m,> 12 months,adult,640,1,1,1,0,managed,107,2,36.80638889,-121.65965
MO-163,7/12/06,2006,dry,f,> 12 months,adult,<40,0,0,NA,NA,managed,107,2,36.80638889,-121.65965
MO-313,7/1/07,2007,dry,f,> 12 months,adult,<40,0,0,0,0,managed,108,2,36.78270278,-121.6282972
MO-314,7/1/07,2007,dry,f,> 12 months,adult,<40,0,0,0,0,managed,108,2,36.78270278,-121.6282972
MO-478,5/19/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,109,1,36.75988056,-121.6089417
MO-148,7/5/06,2006,dry,f,> 12 months,adult,160,0,1,0,0,managed,110,3,36.66688889,-121.6478306
MO-153,7/9/06,2006,dry,f,> 12 months,adult,40,0,0,0,0,managed,110,3,36.66688889,-121.6478306
MO-154,7/9/06,2006,dry,f,> 12 months,adult,<40,0,0,0,0,managed,110,3,36.66688889,-121.6478306
MO-127,6/20/06,2006,dry,f,> 12 months,adult,40,0,0,0,0,managed,111,4,36.67084444,-121.6456472
MO-142,7/2/06,2006,dry,m,> 12 months,adult,40,0,0,0,0,managed,111,4,36.67084444,-121.6456472
MO-162,7/12/06,2006,dry,m,> 12 months,adult,40,0,0,0,1,managed,111,4,36.67084444,-121.6456472
MO-333a,10/2/07,2007,dry,m,> 12 months,adult,"20,240",1,1,0,0,managed,111,4,36.67084444,-121.6456472
MO-098,5/29/06,2006,wet,f,> 12 months,adult,"81,920",1,1,0,0,managed,112,1,36.66175,-121.6566639
MO-239,1/28/07,2007,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,113,5,36.67708333,-121.6639833
MO-244,2/4/07,2007,wet,m,6-12 months,juvenile,<40,0,0,0,0,managed,113,5,36.67708333,-121.6639833
MO-249,2/11/07,2007,wet,NA,> 12 months,adult,<40,0,0,0,0,managed,113,5,36.67708333,-121.6639833
MO-254,2/25/07,2007,wet,m,> 12 months,adult,<40,0,0,0,0,managed,113,5,36.67708333,-121.6639833
MO-265,3/5/07,2007,wet,m,> 12 months,adult,<40,0,0,0,0,managed,113,5,36.67708333,-121.6639833
MO-529,8/10/08,2008,dry,f,NA,NA,<40,0,0,0,0,managed,114,2,36.67431944,-121.6432083
MO-532,8/12/08,2008,dry,f,6-12 months,juvenile,<40,0,0,0,0,managed,114,2,36.67431944,-121.6432083
MO-132 #2 (138),6/25/06,2006,dry,f,6-12 months,juvenile,160,0,1,0,0,managed,115,3,36.72480833,-121.6574917
MO-210,9/4/06,2006,dry,f,< 6 months,juvenile,<40,0,0,0,0,managed,115,3,36.72480833,-121.6574917
MO-211,9/4/06,2006,dry,f,< 6 months,juvenile,<40,0,0,0,0,managed,115,3,36.72480833,-121.6574917
MO-135,6/27/06,2006,dry,f,6-12 months,juvenile,40,0,0,0,0,managed,116,4,36.80565,-121.6967833
MO-147,7/4/06,2006,dry,f,> 12 months,adult,40,0,0,0,0,managed,116,4,36.80565,-121.6967833
MO-150,7/5/06,2006,dry,f,> 12 months,adult,<40,0,0,0,0,managed,116,4,36.80565,-121.6967833
MO-166,7/17/06,2006,dry,m,> 12 months,adult,<40,0,0,0,0,managed,116,4,36.80565,-121.6967833
MO-120,6/13/06,2006,dry,f,6-12 months,juvenile,160,0,1,0,0,managed,117,3,36.82506111,-121.652475
MO-122,6/14/06,2006,dry,f,> 12 months,adult,80,0,0,0,0,managed,117,3,36.82506111,-121.652475
MO-126,6/19/06,2006,dry,f,> 12 months,adult,"10,240",1,1,0,0,managed,117,3,36.82506111,-121.652475
MO-497,6/15/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,118,1,36.75338611,-121.6184722
MO-152,7/9/06,2006,dry,m,> 12 months,adult,<40,0,0,1,0,managed,119,1,36.66994444,-121.6457667
MO-255,2/27/07,2007,wet,f,> 12 months,adult,<40,0,0,0,0,managed,120,1,36.66499722,-121.659825
MO-321,7/15/07,2007,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,121,3,36.68328056,-121.6728889
MO-322,7/15/07,2007,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,121,3,36.68328056,-121.6728889
MO-323,7/15/07,2007,dry,f,< 6 months,juvenile,<40,0,0,0,0,managed,121,3,36.68328056,-121.6728889
MO-088,5/15/06,2006,wet,f,> 12 months,adult,160,0,1,0,0,managed,122,5,36.77785556,-121.6704389
MO-101,5/29/06,2006,wet,f,> 12 months,adult,1280,1,1,0,0,managed,122,5,36.77785556,-121.6704389
MO-125,6/19/06,2006,dry,f,> 12 months,adult,640,1,1,0,0,managed,122,5,36.77785556,-121.6704389
MO-429,3/30/08,2008,wet,m,> 12 months,adult,<40,0,0,0,0,managed,122,5,36.77785556,-121.6704389
MO-441,4/13/08,2008,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,122,5,36.77785556,-121.6704389
MO-475,5/19/08,2008,dry,f,> 12 months,adult,80,0,0,0,0,managed,123,1,36.66036111,-121.6428333
MO-121,6/14/06,2006,dry,m,> 12 months,adult,<40,0,0,0,0,managed,124,1,36.77523889,-121.6561222
MO-464,4/29/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,126,2,36.70840278,-121.6507139
MO-503,7/13/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,126,2,36.70840278,-121.6507139
MO-416,3/5/08,2008,wet,m,> 12 months,adult,<40,0,0,0,0,managed,127,1,36.71806111,-121.6857083
MO-470,5/11/08,2008,dry,f,> 12 months,adult,5120,1,1,0,0,managed,128,1,36.70761944,-121.6332278
MO-531,8/10/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,129,1,36.71101111,-121.63135
MO-507,7/13/08,2008,dry,f,> 12 months,adult,40,0,0,0,0,managed,130,1,36.69432778,-121.6017194
MO-293,6/5/07,2007,dry,f,> 12 months,adult,40w,0,0,0,0,managed,131,1,36.70218889,-121.6426806
MO-408,2/26/08,2008,wet,m,> 12 months,adult,40,0,0,0,0,managed,133,1,36.53215,-121.670175
MO-386,1/15/08,2008,wet,f,> 12 months,adult,40,0,0,0,0,managed,134,1,36.541875,-121.653925
MO-400,2/11/08,2008,wet,f,> 12 months,adult,<40,0,0,0,0,managed,135,3,36.76193333,-121.6619472
MO-401,2/11/08,2008,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,135,3,36.76193333,-121.6619472
MO-413,3/2/08,2008,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,135,3,36.76193333,-121.6619472
MO-310,6/20/07,2007,dry,f,> 12 months,adult,<40,0,0,0,0,managed,136,7,36.66073333,-121.6428083
MO-311,6/20/07,2007,dry,m,> 12 months,adult,<40,0,0,0,0,managed,136,7,36.66073333,-121.6428083
MO-319,7/2/07,2007,dry,m,> 12 months,adult,<40,0,0,0,0,managed,136,7,36.66073333,-121.6428083
MO-380,12/9/07,2007,wet,m,6-12 months,juvenile,<40,0,0,0,0,managed,136,7,36.66073333,-121.6428083
MO-381,12/9/07,2007,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,136,7,36.66073333,-121.6428083
MO-385,1/14/08,2008,wet,f,> 12 months,adult,<40,0,0,0,0,managed,136,7,36.66073333,-121.6428083
MO-446,4/15/08,2008,wet,f,> 12 months,adult,80,0,0,0,0,managed,136,7,36.66073333,-121.6428083
MO-410,2/27/08,2008,wet,f,> 12 months,adult,<40,0,0,0,0,managed,137,1,36.69393611,-121.6154583
MO-325,9/10/07,2007,dry,m,> 12 months,adult,<40,0,0,1,1,managed,138,2,36.66249167,-121.66975
MO-326,9/10/07,2007,dry,f,> 12 months,adult,<40,0,0,0,0,managed,138,2,36.66249167,-121.66975
MO-289,6/3/07,2007,dry,f,> 12 months,adult,<40,0,0,0,0,managed,139,3,36.6541,-121.6825472
MO-291,6/3/07,2007,dry,m,> 12 months,adult,80,0,0,0,0,managed,139,3,36.6541,-121.6825472
MO-294,6/5/07,2007,dry,m,> 12 months,adult,<40,0,0,0,0,managed,139,3,36.6541,-121.6825472
MO-513,7/16/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,140,1,36.68901111,-121.6187222
MO-296,6/6/07,2007,dry,f,> 12 months,adult,<40,0,0,0,0,managed,141,2,36.67075556,-121.6380639
MO-297,6/6/07,2007,dry,f,> 12 months,adult,<40,0,0,0,0,managed,141,2,36.67075556,-121.6380639
MO-374,12/2/07,2007,wet,m,6-12 months,juvenile,<40,0,0,0,0,managed,142,4,36.70667778,-121.6336111
MO-382,12/11/07,2007,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,142,4,36.70667778,-121.6336111
MO-390,1/27/08,2008,wet,m,> 12 months,adult,<40,0,0,0,0,managed,142,4,36.70667778,-121.6336111
MO-414,3/2/08,2008,wet,m,> 12 months,adult,<40,0,0,0,0,managed,142,4,36.70667778,-121.6336111
MO-305,6/19/07,2007,dry,f,> 12 months,adult,<40,0,0,0,0,managed,143,2,36.67738889,-121.655275
MO-306,6/19/07,2007,dry,f,> 12 months,adult,<40,0,0,0,0,managed,143,2,36.67738889,-121.655275
MO-473,5/18/08,2008,dry,f,> 12 months,adult,80,0,0,0,0,managed,144,2,36.75383611,-121.6177056
MO-479,5/20/08,2008,dry,m,6-12 months,juvenile,80,0,0,0,0,managed,144,2,36.75383611,-121.6177056
MO-364,11/18/07,2007,wet,m,> 12 months,adult,<40,0,0,0,0,managed,145,1,36.70513889,-121.6554833
MO-290,6/3/07,2007,dry,m,> 12 months,adult,<40,0,0,0,0,managed,146,2,36.69830278,-121.6348333
MO-292,6/3/07,2007,dry,m,> 12 months,adult,<40,0,0,0,0,managed,146,2,36.69830278,-121.6348333
MO-483,5/28/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,147,4,36.69113333,-121.5703917
MO-502,7/1/08,2008,dry,f,> 12 months,adult,<40,0,0,0,1,managed,147,4,36.69113333,-121.5703917
