cat,date,year,season,sex,age,age.2,toxo titer,toxo320,toxo160,fiv,felv,type,colony,catsincolony,latitude,longitude
08-0606,4/1/08,2008,wet,m,> 12 months,adult,80,0,0,1,0,managed,13,3,36.70494444,-121.6685611
09-0290,4/13/08,2008,dry,f,6-12 months,juvenile,<40,0,0,0,1,managed,13,3,36.70494444,-121.6685611
MO-028,4/4/06,2006,wet,m,> 12 months,adult,40,0,0,0,0,managed,14,1,36.48272222,-121.9376167
MO-033,4/9/06,2006,wet,f,> 12 months,adult,80,0,0,0,0,managed,15,1,36.77764444,-121.7217528
MO-034,4/9/06,2006,wet,m,> 12 months,adult,160,0,1,0,0,managed,16,2,36.69604444,-121.6548167
MO-062,4/25/06,2006,wet,m,> 12 months,adult,320,1,1,1,0,managed,16,2,36.69604444,-121.6548167
MO-040,4/12/06,2006,wet,m,6-12 months,juvenile,<40,0,0,0,0,managed,17,1,36.66475833,-121.6592861
MO-041,4/16/06,2006,wet,m,> 12 months,adult,<40,0,0,0,0,managed,18,31,36.71119444,-121.6433194
MO-042,4/16/06,2006,wet,f,> 12 months,adult,<40,0,0,0,0,managed,18,31,36.71119444,-121.6433194
MO-043,4/17/06,2006,wet,m,> 12 months,adult,<40,0,0,0,0,managed,18,31,36.71119444,-121.6433194
MO-044,4/17/06,2006,wet,f,> 12 months,adult,40,0,0,0,0,managed,18,31,36.71119444,-121.6433194
MO-050,4/19/06,2006,wet,m,> 12 months,adult,"40,960",1,1,1,1,managed,18,31,36.71119444,-121.6433194
MO-051,4/19/06,2006,wet,m,> 12 months,adult,<40,0,0,0,0,managed,18,31,36.71119444,-121.6433194
MO-052,4/23/06,2006,wet,f,6-12 months,juvenile,"81,920+",1,1,0,0,managed,18,31,36.71119444,-121.6433194
MO-055,4/24/06,2006,wet,f,6-12 months,juvenile,"81,920+",1,1,0,1,managed,18,31,36.71119444,-121.6433194
MO-056,4/24/06,2006,wet,m,> 12 months,adult,40,0,0,0,0,managed,18,31,36.71119444,-121.6433194
MO-057,4/24/06,2006,wet,f,> 12 months,adult,5120,1,1,0,0,managed,18,31,36.71119444,-121.6433194
MO-099,5/29/06,2006,wet,f,> 12 months,adult,160,0,1,0,0,managed,18,31,36.71119444,-121.6433194
MO-106,6/5/06,2006,wet,f,> 12 months,adult,80,0,0,0,0,managed,18,31,36.71119444,-121.6433194
MO-107,6/5/06,2006,wet,f,6-12 months,juvenile,5120,1,1,0,0,managed,18,31,36.71119444,-121.6433194
MO-112,6/6/06,2006,wet,f,> 12 months,adult,80,0,0,0,0,managed,18,31,36.71119444,-121.6433194
MO-165,7/16/06,2006,dry,m,> 12 months,adult,<40,0,0,0,0,managed,18,31,36.71119444,-121.6433194
MO-167,7/18/06,2006,dry,m,> 12 months,adult,40,0,0,0,0,managed,18,31,36.71119444,-121.6433194
MO-168,7/18/06,2006,dry,f,NA,NA,40,0,0,0,0,managed,18,31,36.71119444,-121.6433194
MO-176,7/31/06,2006,dry,m,> 12 months,adult,"10,240",1,1,0,0,managed,18,31,36.71119444,-121.6433194
MO-179,8/2/06,2006,dry,f,6-12 months,juvenile,2560,1,1,0,0,managed,18,31,36.71119444,-121.6433194
MO-181,8/6/06,2006,dry,f,6-12 months,juvenile,<40,0,0,0,0,managed,18,31,36.71119444,-121.6433194
MO-183,8/8/06,2006,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,18,31,36.71119444,-121.6433194
MO-218,9/12/06,2006,dry,f,6-12 months,juvenile,<40,0,0,0,0,managed,18,31,36.71119444,-121.6433194
MO-235,1/28/07,2007,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,18,31,36.71119444,-121.6433194
MO-236,1/28/07,2007,wet,m,> 12 months,juvenile,<40,0,0,0,0,managed,18,31,36.71119444,-121.6433194
MO-237,1/28/07,2007,wet,m,6-12 months,juvenile,<40,0,0,0,0,managed,18,31,36.71119444,-121.6433194
MO-238,1/28/07,2007,wet,m,< 6 months,juvenile,<40,0,0,0,0,managed,18,31,36.71119444,-121.6433194
MO-240,1/30/07,2007,wet,m,6-12 months,juvenile,<40,0,0,0,0,managed,18,31,36.71119444,-121.6433194
MO-241,1/31/07,2007,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,18,31,36.71119444,-121.6433194
MO-248,2/11/07,2007,wet,m,< 6 months,juvenile,<40,0,0,0,0,managed,18,31,36.71119444,-121.6433194
MO-250,2/13/07,2007,wet,f,NA,NA,<40,0,0,0,0,managed,18,31,36.71119444,-121.6433194
MO-251,2/13/07,2007,wet,f,> 12 months,adult,1280,1,1,0,0,managed,18,31,36.71119444,-121.6433194
MO-046,4/18/06,2006,wet,f,6-12 months,juvenile,40,0,0,0,0,managed,19,2,36.95675833,-121.7337139
MO-047,4/18/06,2006,wet,f,6-12 months,juvenile,80,0,0,0,0,managed,19,2,36.95675833,-121.7337139
MO-053,4/23/06,2006,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,20,10,36.60508056,-121.8412778
MO-059,4/24/06,2006,wet,m,> 12 months,adult,<40,0,0,0,0,managed,20,10,36.60508056,-121.8412778
MO-061,4/25/06,2006,wet,m,6-12 months,juvenile,320,1,1,0,0,managed,20,10,36.60508056,-121.8412778
MO-141,7/2/06,2006,dry,f,> 12 months,adult,80,0,0,0,0,managed,20,10,36.60508056,-121.8412778
MO-170,7/24/06,2006,dry,f,> 12 months,adult,2560,1,1,0,0,managed,20,10,36.60508056,-121.8412778
MO-185,8/13/06,2006,dry,f,> 12 months,adult,<40,0,0,0,0,managed,20,10,36.60508056,-121.8412778
MO-192,8/15/06,2006,dry,f,< 6 months,juvenile,<40,0,0,0,0,managed,20,10,36.60508056,-121.8412778
MO-193,8/20/06,2006,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,20,10,36.60508056,-121.8412778
MO-196,8/20/06,2006,dry,m,> 12 months,adult,<40,0,0,0,0,managed,20,10,36.60508056,-121.8412778
MO-217,9/13/06,2006,dry,f,< 6 months,juvenile,<40,0,0,0,0,managed,20,10,36.60508056,-121.8412778
MO-054,4/24/06,2006,wet,f,> 12 months,adult,40,0,0,0,0,managed,21,4,36.67132778,-121.7885861
MO-060,4/25/06,2006,wet,m,6-12 months,juvenile,160,0,1,0,0,managed,21,4,36.67132778,-121.7885861
MO-177,7/31/06,2006,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,21,4,36.67132778,-121.7885861
MO-182,8/6/06,2006,dry,f,> 12 months,adult,<40,0,0,0,0,managed,21,4,36.67132778,-121.7885861
MO-058,4/24/06,2006,wet,f,6-12 months,juvenile,320,1,1,0,0,managed,22,5,36.64435556,-121.7615472
MO-071,5/1/06,2006,wet,m,> 12 months,adult,<40,0,0,0,0,managed,22,5,36.64435556,-121.7615472
MO-132 #1,6/24/06,2006,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,22,5,36.64435556,-121.7615472
MO-133,6/25/06,2006,dry,f,< 6 months,juvenile,<40,0,0,0,0,managed,22,5,36.64435556,-121.7615472
MO-134,6/25/06,2006,dry,f,< 6 months,juvenile,40,0,0,0,0,managed,22,5,36.64435556,-121.7615472
MO-065,4/26/06,2006,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,23,2,36.02013611,-121.5509222
MO-067,4/30/06,2006,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,23,2,36.02013611,-121.5509222
MO-068,5/1/06,2006,wet,f,> 12 months,adult,160,0,1,0,0,managed,24,1,36.71340278,-121.6495833
MO-482,5/26/08,2008,dry,f,6-12 months,juvenile,<40,0,0,0,0,managed,25,1,36.82431111,-121.6680889
MO-178,8/1/06,2006,dry,f,> 12 months,adult,<40,0,0,0,0,managed,26,3,36.6611,-121.6301028
MO-180,8/3/06,2006,dry,m,> 12 months,adult,<40,0,0,0,0,managed,26,3,36.6611,-121.6301028
MO-245,2/5/07,2007,wet,f,> 12 months,adult,<40,0,0,0,0,managed,26,3,36.6611,-121.6301028
MO-087,5/14/06,2006,wet,f,> 12 months,adult,80,0,0,0,0,managed,27,9,36.59863333,-121.8350278
MO-424,3/17/08,2008,wet,m,> 12 months,adult,80,0,0,1,0,managed,27,9,36.59863333,-121.8350278
MO-433,3/31/08,2008,wet,m,> 12 months,adult,80,0,0,1,0,managed,27,9,36.59863333,-121.8350278
MO-438,4/1/08,2008,wet,m,> 12 months,adult,40,0,0,1,0,managed,27,9,36.59863333,-121.8350278
MO-468,5/4/08,2008,dry,m,> 12 months,adult,40,0,0,1,0,managed,27,9,36.59863333,-121.8350278
MO-476,5/19/08,2008,dry,m,6-12 months,juvenile,40,0,0,0,0,managed,27,9,36.59863333,-121.8350278
MO-477,5/19/08,2008,dry,m,6-12 months,juvenile,<40,0,0,0,0,managed,27,9,36.59863333,-121.8350278
MO-517,7/21/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,27,9,36.59863333,-121.8350278
MO-538,8/18/08,2008,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,27,9,36.59863333,-121.8350278
MO-083,5/14/06,2006,wet,m,6-12 months,juvenile,<40,0,0,0,0,managed,28,6,36.76708056,-121.7550528
MO-084,5/14/06,2006,wet,m,6-12 months,juvenile,<40,0,0,0,0,managed,28,6,36.76708056,-121.7550528
08-1106,6/14/08,2008,dry,f,> 12 months,adult,10240,1,1,0,0,managed,28,6,36.76708056,-121.7550528
08-1107,6/16/08,2008,dry,f,< 6 months,juvenile,40,0,0,0,0,managed,28,6,36.76708056,-121.7550528
08-1111,6/14/08,2008,dry,f,< 6 months,juvenile,<40,0,0,0,1,managed,28,6,36.76708056,-121.7550528
08-1112,6/14/08,2008,dry,m,< 6 months,juvenile,40,0,0,0,0,managed,28,6,36.76708056,-121.7550528
MO-114,6/7/06,2006,dry,f,> 12 months,adult,<40,0,0,0,0,managed,29,3,36.58821111,-121.9011028
MO-115,6/7/06,2006,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,29,3,36.58821111,-121.9011028
MO-116,6/7/06,2006,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,29,3,36.58821111,-121.9011028
MO-197,8/21/06,2006,dry,f,> 12 months,adult,<40,0,0,0,0,managed,31,1,36.67661111,-121.6564028
MO-463,4/29/08,2008,dry,f,6-12 months,juvenile,<40,0,0,0,0,managed,32,1,36.61275,-121.8419556
MO-417,3/5/08,2008,wet,m,> 12 months,adult,<40,0,0,0,0,managed,33,2,36.60601667,-121.8415694
MO-447,4/15/08,2008,wet,f,> 12 months,adult,80,0,0,0,0,managed,33,2,36.60601667,-121.8415694
MO-559,9/15/08,2008,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,34,4,36.67578333,-121.658075
MO-567,9/17/08,2008,dry,f,> 12 months,adult,80,0,0,0,0,managed,34,4,36.67578333,-121.658075
MO-570,9/22/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,34,4,36.67578333,-121.658075
MO-581,10/6/08,2008,wet,f,> 12 months,adult,<40,0,0,0,0,managed,34,4,36.67578333,-121.658075
MO-443,4/14/08,2008,wet,f,> 12 months,adult,80,0,0,0,0,managed,35,9,36.60153889,-121.8301861
MO-444,4/14/08,2008,wet,m,> 12 months,adult,<40,0,0,0,0,managed,35,9,36.60153889,-121.8301861
MO-450,4/16/08,2008,wet,f,> 12 months,adult,40,0,0,1,0,managed,35,9,36.60153889,-121.8301861
MO-451,4/16/08,2008,wet,m,> 12 months,adult,<40,0,0,0,0,managed,35,9,36.60153889,-121.8301861
MO-456,4/21/08,2008,wet,m,> 12 months,adult,<40,0,0,0,0,managed,35,9,36.60153889,-121.8301861
MO-457,4/21/08,2008,wet,m,> 12 months,adult,<40,0,0,0,0,managed,35,9,36.60153889,-121.8301861
MO-458,4/22/08,2008,wet,f,> 12 months,adult,<40,0,0,0,0,managed,35,9,36.60153889,-121.8301861
MO-459,4/22/08,2008,wet,f,> 12 months,adult,<40,0,0,0,0,managed,35,9,36.60153889,-121.8301861
MO-560,9/16/08,2008,dry,f,6-12 months,juvenile,<40,0,0,0,0,managed,35,9,36.60153889,-121.8301861
MO-100,5/29/06,2006,dry,f,> 12 months,adult,80,0,0,0,0,managed,36,4,36.60264722,-121.8513333
MO-282,4/15/07,2007,wet,f,> 12 months,adult,<40,0,0,0,0,managed,36,4,36.60264722,-121.8513333
MO-284,5/13/07,2007,dry,f,> 12 months,adult,<40,0,0,0,0,managed,36,4,36.60264722,-121.8513333
MO-285,5/13/07,2007,dry,f,> 12 months,adult,<40,0,0,0,0,managed,36,4,36.60264722,-121.8513333
MO-136,6/27/06,2006,dry,f,> 12 months,adult,40+ -,0,0,0,0,managed,37,2,36.60265,-121.8433889
MO-137,6/27/06,2006,dry,f,> 12 months,adult,<40,0,0,0,0,managed,37,2,36.60265,-121.8433889
MO-103,6/4/06,2006,dry,f,> 12 months,adult,320,1,1,0,0,managed,38,1,36.60363056,-121.8367056
MO-234,1/23/07,2007,wet,f,6-12 months,juvenile,"10,240",1,1,0,0,managed,39,5,36.83610833,-121.7272917
MO-242,1/31/07,2007,wet,f,6-12 months,juvenile,2560,1,1,0,0,managed,39,5,36.83610833,-121.7272917
MO-246,2/6/07,2007,wet,f,6-12 months,juvenile,"10,240",1,1,0,0,managed,39,5,36.83610833,-121.7272917
MO-247,2/6/07,2007,wet,f,6-12 months,juvenile,">81,920",1,1,0,0,managed,39,5,36.83610833,-121.7272917
MO-425,3/19/08,2008,wet,m,> 12 months,adult,<40,0,0,0,0,managed,39,5,36.83610833,-121.7272917
MO-442,4/14/08,2008,wet,f,> 12 months,adult,160,0,1,0,0,managed,40,2,36.60724722,-121.8401333
MO-454,4/21/08,2008,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,40,2,36.60724722,-121.8401333
MO-081*,5/14/06,2006,wet,f,> 12 months,adult,80,0,0,0,0,managed,41,3,36.60223611,-121.8693722
MO-082,5/14/06,2006,wet,f,> 12 months,adult,640,1,1,0,0,managed,41,3,36.60223611,-121.8693722
MO-090,5/16/06,2006,wet,f,> 12 months,adult,<40,0,0,0,0,managed,41,3,36.60223611,-121.8693722
MO-243,2/4/07,2007,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,42,1,36.80371667,-121.7143556
MO-419,3/9/08,2008,wet,f,> 12 months,adult,80,0,0,0,0,managed,43,1,36.57524167,-121.9375611
MO-544,9/8/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,44,14,36.59953333,-121.83185
MO-549,9/10/08,2008,dry,f,< 6 months,juvenile,<40,0,0,0,0,managed,44,14,36.59953333,-121.83185
MO-550,9/10/08,2008,dry,m,< 6 months,juvenile,<40,0,0,0,0,managed,44,14,36.59953333,-121.83185
MO-551,9/14/08,2008,dry,f,> 12 months,adult,80,0,0,0,0,managed,44,14,36.59953333,-121.83185
MO-552,9/14/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,44,14,36.59953333,-121.83185
MO-555,9/14/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,44,14,36.59953333,-121.83185
MO-556,9/14/08,2008,dry,m,> 12 months,adult,<40,0,0,0,0,managed,44,14,36.59953333,-121.83185
MO-568,9/22/08,2008,dry,f,> 12 months,adult,40,0,0,0,0,managed,44,14,36.59953333,-121.83185
MO-569,9/22/08,2008,dry,m,> 12 months,adult,<40,0,0,0,0,managed,44,14,36.59953333,-121.83185
MO-583,10/7/08,2008,wet,m,6-12 months,juvenile,40,0,0,0,0,managed,44,14,36.59953333,-121.83185
MO-584,10/7/08,2008,wet,m,6-12 months,juvenile,80,0,0,0,0,managed,44,14,36.59953333,-121.83185
MO-585,10/7/08,2008,wet,m,6-12 months,juvenile,<40,0,0,0,0,managed,44,14,36.59953333,-121.83185
MO-586,10/7/08,2008,wet,m,6-12 months,juvenile,<40,0,0,0,0,managed,44,14,36.59953333,-121.83185
MO-587,10/7/08,2008,wet,f,> 12 months,adult,80,0,0,0,0,managed,44,14,36.59953333,-121.83185
MO-225,9/26/06,2006,dry,f,> 12 months,adult,<40,0,0,1,0,managed,45,3,36.60938333,-121.8457861
MO-226,9/26/06,2006,dry,m,< 6 months,juvenile,<40,0,0,0,1,managed,45,3,36.60938333,-121.8457861
MO-227,9/26/06,2006,dry,f,6-12 months,juvenile,<40,0,0,0,0,managed,45,3,36.60938333,-121.8457861
MO-076,5/9/06,2006,wet,f,> 12 months,adult,"10,240",1,1,0,0,managed,46,1,36.69948333,-121.61185
MO-085,5/14/06,2006,wet,m,6-12 months,juvenile,80,0,0,0,0,managed,47,4,36.83234444,-121.3715444
MO-086,5/14/06,2006,wet,f,6-12 months,juvenile,80,0,0,0,0,managed,47,4,36.83234444,-121.3715444
MO-172,7/25/06,2006,dry,f,< 6 months,juvenile,40,0,0,0,0,managed,47,4,36.83234444,-121.3715444
MO-173,7/25/06,2006,dry,f,> 12 months,adult,320,1,1,0,0,managed,47,4,36.83234444,-121.3715444
MO-124,6/19/06,2006,dry,m,> 12 months,adult,<40,0,0,1,1,managed,48,2,36.61038333,-121.8371583
MO-366,11/18/07,2007,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,48,2,36.61038333,-121.8371583
MO-273,2/13/07,2007,wet,f,6-12 months,juvenile,1280,1,1,0,0,managed,49,2,36.86118889,-121.6838194
MO-274,2/13/07,2007,wet,f,6-12 months,juvenile,2560,1,1,0,0,managed,49,2,36.86118889,-121.6838194
MO-069,5/1/06,2006,wet,m,> 12 months,adult,320,1,1,1,0,managed,50,3,36.61104722,-121.8329167
